2026-05-26T01:41:07.356+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-3] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:41:07 | УСПЕШНОЕ ВЫПОЛНЕНИЕ | ReceiptService.getAll() | Результат: Page 1 of 2 containing com.cinema.api.dto.ReceiptRs instances
2026-05-26T01:41:07.384+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-6] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:41:07 | ВЫЗОВ МЕТОДА | ReceiptService.getAll() | Аргументы: [Page request [number: 0, size 10, sort: date: DESC]]
2026-05-26T01:41:07.450+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-6] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:41:07 | УСПЕШНОЕ ВЫПОЛНЕНИЕ | ReceiptService.getAll() | Результат: Page 1 of 2 containing com.cinema.api.dto.ReceiptRs instances
2026-05-26T01:42:45.801+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-7] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:42:45 | ВЫЗОВ МЕТОДА | MerchandiseService.getAll() | Аргументы: []
2026-05-26T01:42:45.801+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-10] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:42:45 | ВЫЗОВ МЕТОДА | ComboService.getAll() | Аргументы: []
2026-05-26T01:42:45.804+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-1] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:42:45 | ВЫЗОВ МЕТОДА | ReceiptService.getAll() | Аргументы: [Page request [number: 0, size 10, sort: date: DESC]]
2026-05-26T01:42:45.812+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-7] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:42:45 | УСПЕШНОЕ ВЫПОЛНЕНИЕ | MerchandiseService.getAll() | Результат: [com.cinema.api.dto.MerchandiseRs@4cd71258, com.cinema.api.dto.MerchandiseRs@52f2f990, com.cinema.api.dto.MerchandiseRs@1ac42ce2, com.cinema.api.dto.MerchandiseRs@401d8521, com.cinema.api.dto.MerchandiseRs@342c1aa8]
2026-05-26T01:42:45.822+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-10] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:42:45 | УСПЕШНОЕ ВЫПОЛНЕНИЕ | ComboService.getAll() | Результат: [com.cinema.api.dto.ComboRs@141da593, com.cinema.api.dto.ComboRs@66826920, com.cinema.api.dto.ComboRs@76bf2df5, com.cinema.api.dto.ComboRs@1a67c152, com.cinema.api.dto.ComboRs@632fceb0, com.cinema.api.dto.ComboRs@1611609c]
2026-05-26T01:42:45.846+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-4] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:42:45 | ВЫЗОВ МЕТОДА | MerchandiseService.getAll() | Аргументы: []
2026-05-26T01:42:45.854+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-2] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:42:45 | ВЫЗОВ МЕТОДА | ComboService.getAll() | Аргументы: []
2026-05-26T01:42:45.854+04:00  INFO 30892 --- [cinema-api] [http-nio-8080-exec-4] com.cinema.api.aspect.LoggerAspect       : 2026-05-26 01:42:45 | УСПЕШНОЕ ВЫПОЛНЕНИЕ | MerchandiseService.getAll() | Результат: [com.cinema.api.dto.MerchandiseRs@23085d0, com.cinema.api.dto.MerchandiseRs@32eab25c, com.cinema.api.dto.MerchandiseRs@3a02638c, com.cinema.api.dto.MerchandiseRs@52cf06ec, com.cinema.api.dto.MerchandiseRs@54571760]
